fir_number,crime_type,incident_date,incident_time,district,police_station,severity,status,latitude,longitude,description,modus_operandi
FIR000001,Assault,2025-01-01,20:33,Ramanagara,Channapatna,HIGH,PENDING,12.7305,77.3232,Assault reported at Basavanagudi. Confrontation.,Confrontation
FIR000002,Burglary,2025-01-02,17:08,Bidar,Basavakalyan,MEDIUM,UNDER_INVESTIGATION,17.9235,77.5464,Burglary reported at Banashankari 2nd Stage. Forceful entry.,Forceful entry
FIR000003,Cybercrime,2025-01-03,11:32,Dakshina Kannada,Sullia,MEDIUM,CLOSED,12.9182,74.857,Cybercrime reported at Mahalakshmi Layout. Credential theft.,Credential theft
FIR000004,Drug Offence,2025-01-04,06:32,Kodagu,Madikeri,HIGH,UNDER_INVESTIGATION,12.4019,75.7146,Drug Offence reported at Kengeri Satellite Town. Online sale.,Online sale
FIR000005,Chain Snatching,2025-01-05,19:31,Dakshina Kannada,Puttur,MEDIUM,COLD,12.824,74.8541,Chain Snatching reported at Kumaraswamy Layout. Pillion snatch.,Pillion snatch
FIR000006,Criminal Trespass,2025-01-06,01:19,Dharwad,Kalghatgi,CRITICAL,CLOSED,15.4586,74.9693,Criminal Trespass reported at HSR Layout Sector 3. Boundary violation.,Boundary violation
FIR000007,Burglary,2025-01-07,01:00,Vijayapura,Muddebihal,LOW,PENDING,16.8656,75.685,Burglary reported at MG Road. Disguised entry.,Disguised entry
FIR000008,Kidnapping,2025-01-08,13:49,Belagavi,Kadapa,MEDIUM,CLOSED,15.8433,74.4715,Kidnapping reported at Vijayanagar Town. Custodial.,Custodial
FIR000009,Burglary,2025-01-09,05:50,Dakshina Kannada,Sullia,LOW,COLD,12.8862,74.8662,Burglary reported at Hebbal Ring Road. Lock picking.,Lock picking
FIR000010,Fraud,2025-01-10,06:26,Mysuru,Krishnaraja,HIGH,UNDER_INVESTIGATION,12.2594,76.5952,Fraud reported at Whitefield Main Road. Insurance fraud.,Insurance fraud
FIR000011,Criminal Trespass,2025-01-11,15:13,Chikkamagaluru,Chikkamagaluru Town,CRITICAL,UNDER_INVESTIGATION,13.3156,75.7355,Criminal Trespass reported at Kengeri Satellite Town. Boundary violation.,Boundary violation
FIR000012,Sexual Offence,2025-01-12,08:10,Chitradurga,Hosadurga,LOW,PENDING,14.2409,76.3898,Sexual Offence reported at Subramanyapura. Assault.,Assault
FIR000013,Arson,2025-01-13,21:04,Mysuru,Udayagiri,CRITICAL,PENDING,12.2797,76.6173,Arson reported at Malleshwaram 8th Cross. Industrial arson.,Industrial arson
FIR000014,Fraud,2025-01-14,13:33,Uttara Kannada,Main Police Station,MEDIUM,PENDING,14.8092,74.0879,Fraud reported at Peenya Industrial Area. Online scam.,Online scam
FIR000015,Cybercrime,2025-01-15,15:33,Shivamogga,Shivamogga Town,CRITICAL,COLD,13.9014,75.5802,Cybercrime reported at Sadashivanagar. Credential theft.,Credential theft
