district,population,literacyRate,unemploymentRate,policePresence,povertyRate,urbanizationRate
Bengaluru Urban,8439957,89.65093842102215,3.497887888038531,8.658453576033935,5.551854093465954,98.804038324859
Bengaluru Rural,937419,81.13763665696607,4.562244273978285,3.752435810910538,8.569799601519481,29.992203395348042
Belagavi,4816274,73.93945834832266,7.4898987549357114,3.9867777346633373,11.025684705702588,36.16548180580139
Ballari,2441691,68.28779184548185,6.858840985223651,3.1868666019290686,15.40954897836782,41.181500495178625
Bidar,1694136,70.6873602301348,6.406310811336152,3.47079789894633,15.729984805872665,30.44866499840282
Chamarajanagar,1034645,62.458437545318155,8.688500846992246,2.4867385940160602,19.57127256365493,17.55959045793861
Chikkaballapur,1296543,70.63734331396408,6.081056942790747,2.9720367020461707,13.935644123051315,20.36144338361919
Chikkamagaluru,1166376,78.49083054279909,5.108916404144838,3.226428871555254,10.40610674507916,26.18025235598907
Chitradurga,1619728,75.16958905030042,6.13410201377701,2.551013784017414,14.430226666526869,31.03928339551203
Dakshina Kannada,2138999,87.51976223234087,4.586903587449342,4.816516936291009,5.312309701275081,56.36582374689169
Davanagere,1674072,75.43651749282144,5.142795044882223,3.1579347795806827,12.636112787295133,34.18808024027385
Dharwad,1832232,80.95622232812457,5.825163248926401,3.838529386743903,10.26686282227747,45.55415298207663
Gadag,1061603,69.05763164092787,7.225370871834457,2.9418311298359185,15.73174291732721,26.361479284241796
Hassan,1785771,75.02808491466567,4.93141270771157,3.421535707078874,11.392139235232026,28.22990927565843
Haveri,1627591,71.77484248760156,5.907313049887307,3.0241999770049004,15.205627939663827,23.40140506788157
Kalaburagi,2543598,64.4285064199008,8.390208377921955,3.0084282369352877,15.378153088688851,31.39416827633977
Kodagu,577850,82.18716767407022,3.370772320893593,3.9370797763112932,8.01493405457586,21.778837994206697
Kolar,1488978,73.16623102682642,5.4602089532651,2.941509938100353,13.39845157857053,29.0125894122757
Koppal,1435453,66.63887047176249,6.708782662334852,2.6286677047610283,17.084000024711713,18.88413537410088
Mandya,1786669,76.28633575299754,4.937043336336501,3.002811863133684,12.397029992425814,27.18346696929075
Mysuru,3003825,82.32251813202166,5.022569054109044,5.354944216320291,9.521893242374063,52.073152313707396
Raichur,1880829,65.03221704885364,8.148939060047269,2.8088941412977873,18.599590889224782,28.650102322688326
Ramanagara,1076731,71.3808830762282,5.165455097076483,2.4706291540060192,13.119817873183639,19.51819268288091
Shivamogga,1774422,81.87452651197091,5.2420609665801745,3.28240591683425,8.437569531146437,31.757723743095994
Tumakuru,2681818,74.68699906379916,5.415584999206476,3.569507404509932,12.2404599389527,29.855634436942637
Udupi,1216919,85.11368072642945,4.27458365408238,4.614922570809722,6.316082180244848,40.16750084119849
Uttara Kannada,1346660,83.73471942963079,4.367393850744702,3.539963157614693,7.911403795471415,30.38104884675704
Vijayanagara,1386409,70.43841786100529,7.52956274705939,2.3379679184406994,15.518566806335002,25.333450942998752
Vijayapura,2177464,71.6492372311186,5.983779170317575,2.8026715139858425,14.16167940897867,29.25845110672526
Yadgiri,1183825,62.38050730861723,7.974744568695314,2.6218809173908086,21.28312818496488,17.51212717453018
